Variable,Description,,,,,,,,,,,,,,,,,,,,,
ag_hh_inc,Aggregate Household Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_interest,Aggregate Interest Dividends in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_fam_inc,Aggregate Family Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_nonfam_inc,Aggregate Non-Family Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_inc,Aggregate Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_earnings,Aggregate Earnings in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_ssi,Aggregate Social Security Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_sssi,Aggregate Supplemental Social Security Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_pa_inc,Aggregate Public Assistance Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_other_inc,Aggregate Other Sources of Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_ret_inc,Aggregate Retirement Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
as_selfemp_inc,Aggregate Self-Employment in Income Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_wage_inc,Aggregate Wage or Salary Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
ag_rooms,Aggregate Number of Rooms,,,,,,,,,,,,,,,,,,,,,
ag_vehicle,Aggregate Number of Vehicles Available,,,,,,,,,,,,,,,,,,,,,
avrg_hh_size,Average Household Size,,,,,,,,,,,,,,,,,,,,,
med_age,Median Age,,,,,,,,,,,,,,,,,,,,,
med_earnings,Median Earnings in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
med_fam_inc,Median Family Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
med_hh_inc,Median Household Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
med_nonfam_inc,Median Non-Family Income in Past 12 Months,,,,,,,,,,,,,,,,,,,,,
med_rooms,Median Number of Rooms,,,,,,,,,,,,,,,,,,,,,
med_value,Median Value,,,,,,,,,,,,,,,,,,,,,
med_hh_movein,Median Year Householder Moved in,,,,,,,,,,,,,,,,,,,,,
med_built_year,Median Year Structure Built,,,,,,,,,,,,,,,,,,,,,
hh_1p,Number of 1-person Households,,,,,,,,,,,,,,,,,,,,,
hh_2p,Number of 2-person Households,,,,,,,,,,,,,,,,,,,,,
hh_3p,Number of 3-person Households,,,,,,,,,,,,,,,,,,,,,
hh_4p,Number of 4-person Households,,,,,,,,,,,,,,,,,,,,,
hh_5p,Number of 5-person Households,,,,,,,,,,,,,,,,,,,,,
hh_6p,Number of 6-person Households,,,,,,,,,,,,,,,,,,,,,
hh_7p,Number of 7-person Households,,,,,,,,,,,,,,,,,,,,,
pov_fam,Number of Families with Income Below Poverty Level,,,,,,,,,,,,,,,,,,,,,
pov_sngl_father,Number of Single-Father Families with Income Below Poverty Level,,,,,,,,,,,,,,,,,,,,,
pov_sngl_mother,Number of Single-Mother Families with Income Below Poverty Level,,,,,,,,,,,,,,,,,,,,,
fam_hh,Number of Family Households,,,,,,,,,,,,,,,,,,,,,
sngl_mother,Number of Single Mother Families,,,,,,,,,,,,,,,,,,,,,
sngl_father,Number of Single Father Families,,,,,,,,,,,,,,,,,,,,,
hh_60,Number of Households with One Member Over 60,,,,,,,,,,,,,,,,,,,,,
fam_60,Number of Family Households with One Member Over 60,,,,,,,,,,,,,,,,,,,,,
mar_60,Number of Married Couple Family Households with One Member Over 60,,,,,,,,,,,,,,,,,,,,,
nonfam_60,Number of Non-Family Households with One Member Over 60,,,,,,,,,,,,,,,,,,,,,
sngl_father_60,Number of Single Father Households with One Member Over 60,,,,,,,,,,,,,,,,,,,,,
sngl_mother_60,Number of Single Mother Households with One Member Over 60,,,,,,,,,,,,,,,,,,,,,
hh_18,Number of Households with One Member Under 18,,,,,,,,,,,,,,,,,,,,,
fam_18,Number of Family Households with One Member Under 18,,,,,,,,,,,,,,,,,,,,,
mar_18,Number of Married Couple Households with One Member Under 18,,,,,,,,,,,,,,,,,,,,,
sngl_mother_18,Number of Single Mother Households with One Member Under 18,,,,,,,,,,,,,,,,,,,,,
sngl_father_18,Number of Single Father Households with One Member Under 18,,,,,,,,,,,,,,,,,,,,,
nonfam_18,Number of Non-Family Households with One Member Under 18,,,,,,,,,,,,,,,,,,,,,
male,Number of Male Residents,,,,,,,,,,,,,,,,,,,,,
female,Number of Female Residents,,,,,,,,,,,,,,,,,,,,,
tot_pop,Number of Residents,,,,,,,,,,,,,,,,,,,,,
white,Number of White Residents,,,,,,,,,,,,,,,,,,,,,
black,Number of Black/African American Residents,,,,,,,,,,,,,,,,,,,,,
aian,Number of American Indian/Alaska Native Residents,,,,,,,,,,,,,,,,,,,,,
asian,Number of Asian Residents,,,,,,,,,,,,,,,,,,,,,
hwipi,Number of Native Hawaiian/Pacific Islander Residents,,,,,,,,,,,,,,,,,,,,,
other,Number of Other Race Residents,,,,,,,,,,,,,,,,,,,,,
two_or_more,Number of Two or More Race Residents,,,,,,,,,,,,,,,,,,,,,
hisp,Number of Hispanic/Latino Residents,,,,,,,,,,,,,,,,,,,,,
same_house,Number of Residents in Same House as 1 Year Ago,,,,,,,,,,,,,,,,,,,,,
dif_house,Number of Residents in Different House as 1 Year Ago,,,,,,,,,,,,,,,,,,,,,
workers,Number of Workers,,,,,,,,,,,,,,,,,,,,,
in_state,Number of Workers Who Work in State,,,,,,,,,,,,,,,,,,,,,
out_state,Number of Workers Who Work Out of State,,,,,,,,,,,,,,,,,,,,,
commute_car,Number of Workers Commuting by Car/Truck/Van,,,,,,,,,,,,,,,,,,,,,
commute_pub,Number of Workers Commuting by Public Transportation,,,,,,,,,,,,,,,,,,,,,
commute_byc,Number of Workers Commuting by Bicycle,,,,,,,,,,,,,,,,,,,,,
commute_walk,Number of Workers Commuting by Walking,,,,,,,,,,,,,,,,,,,,,
commute_1529,Number of Workers with Commute of 15-29 Minutes,,,,,,,,,,,,,,,,,,,,,
commute_3059,Number of Workers with Commute of 30-59 Minutes,,,,,,,,,,,,,,,,,,,,,
commute_60,Number of Workers with Commute of 60+ Minutes,,,,,,,,,,,,,,,,,,,,,
commute_15,Number of Workers with Commute of 15 Minutes or Less,,,,,,,,,,,,,,,,,,,,,
tot_hh,Number of Households,,,,,,,,,,,,,,,,,,,,,
